Id,Name,Property_type,Room_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,No_of_reviews,Review_scores,Host_id,Host_name,Availability_30,Availability_60,Availability_90,Availability_365,Country,Longitude,Latitude,City
3090578,3store apartment for vacations,Apartment,Entire home/apt,1,1125,flexible,8,3.0,5.0,791,1204.209631728045,154.4988066825776,0.0,1.0,1,95,8267301,Yasmin,0,0,0,0,Brazil,-43.18059581291919,-22.916267467623452,Rio de Janeiro
30919312,"三大房大床,客廳寬闊｡旺角中心,到地鐵口不到1分鐘",Apartment,Entire home/apt,4,1125,strict_14_with_grace_period,8,3.0,1.7395659432387311,1201,1424.055718475073,179.45801526717557,150.0,4.0,2,91,183844752,Boris,21,51,81,171,Hong Kong,114.16936,22.32019,Hong Kong
30962949,Stop! Look No Further! Leinaala #104 Oceanfront Ocean View 1Bd/1Ba Sleeps 4,Condominium,Entire home/apt,3,29,super_strict_60,4,1.3226863226863228,2.0,189,271.6562150055991,116.97643732327991,0.0,4.0,0,94,51017586,Rentals Maui,2,3,6,139,United States,-156.45876,20.7557,Kihei
31002017,Views To Die For// Studio Rushcutters Bay // Free Parking,Apartment,Entire home/apt,1,1125,moderate,2,1.5599343185550083,2.0148026315789473,90,433.06265060240975,90.51914893617023,0.0,1.0,9,93,224426080,Air,9,36,56,72,Australia,151.22573,-33.87569,Rushcutters Bay
31023724,NAYA - Downtown Guesthouse - Suite Timor,House,Private room,1,31,moderate,3,1.5324909747292421,2.408679927667269,80,83.85128205128206,19.04387990762125,0.0,1.0,2,94,231190201,Naya,30,57,80,305,Portugal,-8.61354,41.16228,Porto
3120723,Charming Private Studio in LES,Apartment,Entire home/apt,2,1125,strict_14_with_grace_period,2,1.3226863226863228,1.0,160,271.6562150055991,116.97643732327991,0.0,1.0,6,94,15853337,Julia,0,0,0,0,United States,-73.98573,40.72165,New York
31459895,Cómoda habitación individual + baño privado,Apartment,Private room,32,179,strict_14_with_grace_period,1,1.0,1.0,27,242.726862302483,43.026209677419345,10.0,1.0,0,91,36607755,Igor,0,0,6,281,Spain,2.1867,41.392,Barcelona
31504921,the best location in taksim. hotel apt. 3rd floor,Apartment,Entire home/apt,1,1125,flexible,4,1.3490136570561457,1.9816232771822357,206,726.4401913875598,82.5373665480427,0.0,1.0,0,92,236042149,Iman,30,60,90,365,Turkey,28.98263,41.03762,Beyoglu
31563921,Copacabana 3 rooms 3 wcs garage,Condominium,Entire home/apt,3,1125,strict_14_with_grace_period,10,3.0,7.0,451,1204.209631728045,154.4988066825776,50.0,9.0,0,95,26988167,Sérgio,7,20,41,266,Brazil,-43.18670238782581,-22.96818693185744,Copacabana
31670584,Ótimo apartamento a 2 minutos da praia,Apartment,Entire home/apt,3,1125,flexible,3,0.0,3.0,101,1204.209631728045,154.4988066825776,0.0,1.0,1,95,8696288,Michael,8,12,12,12,Brazil,-43.18528474231668,-22.97025862376159,Copacabana
31879987,Private & comfy bedroom - Best Sunrise views,Apartment,Private room,10,56,flexible,1,1.0,1.0,23,324.84578313253013,50.470715835141,7.0,1.0,0,93,158835105,Ad,16,16,16,16,Canada,-73.5621,45.53121,Montreal
32096193,Amazing vintage art Work space in old city center,Guest suite,Private room,32,1125,flexible,2,1.0,1.0,180,242.726862302483,43.026209677419345,50.0,2.0,0,91,96925856,Josie,30,60,90,365,Spain,2.17991,41.38497,Barcelona
32242177,Rare 2 Bedroom + Loft Townhouse on the North Shore,Townhouse,Entire home/apt,3,182,super_strict_60,8,1.3226863226863228,6.0,341,271.6562150055991,116.97643732327991,0.0,1.0,0,94,186952542,Jared,6,23,46,272,United States,-157.99193,21.69965,Kahuku
32265418,In Oporto Center Apartment 2,Guest suite,Entire home/apt,2,1125,moderate,4,1.5324909747292421,2.408679927667269,100,83.85128205128206,19.04387990762125,0.0,1.0,0,94,220514058,João,0,0,0,182,Portugal,-8.60532,41.1442,Porto
32281660,A little gem in the heart of Causeway Bay,Apartment,Entire home/apt,3,90,strict_14_with_grace_period,2,1.0,1.7395659432387311,848,1424.055718475073,179.45801526717557,500.0,2.0,0,91,11407874,Cally,1,19,49,194,Hong Kong,114.18272,22.27776,Hong Kong
32327341,Charming room near Glories,Apartment,Private room,7,32,flexible,1,1.0,1.0,100,242.726862302483,43.026209677419345,0.0,1.0,0,91,236738743,Ileana,29,59,89,89,Spain,2.19404,41.40767,Barcelona
